微博创建时间,微博url,点赞数,转发数,评论数,工具,关键词,微博内容,情感得分,TF-IDF关键词,TextRank关键词
2018/1/9 20:11,https://weibo.com/1801487174/FDB4c5VNH,85,205,29,360安全浏览器,A股,【哪些公司有“净壳收购”之相？6分钟看懂壳股攻略】2017年下半年以来，A股市场波动幅度很小，成交量也日渐稀少，360借壳江南嘉捷所带来的1个月涨5倍的暴富光环，让人艳羡不已。很多投资人肯定都曾经希望或者幻想过，自己手头从来不涨的“垃圾股”，可以被某巨头看中，借壳，然后上市，一圆财富梦。可是对“壳”股票的标准却没有一个明确的认识，也不知道该怎么去甄别。尤其到了现在，监管趋严，“壳”交易早已从卖方市场转变为买方市场，只有资产干净、整合难度小的“净壳”，才有希望被买方看上。甄别过程极具技巧，财爷这里就教您两招，希望对您有些许帮助。 http://t.cn/RQh7Bwc,27.33669769,净壳 借壳 甄别 希望 两招 ,借壳 希望 甄别 投资人 没有 
2018/1/8 9:10,https://weibo.com/5122335500/FDnjov6eE,301,68,99,微博 weibo.com,A股,#今日看盘# #雄安# 受美股及港股连创新高影响，A股在反弹的小周期内走势强于预期，但阳线越收越小，上涨出现疲态，短线可能迎来调整，目前只看做一波反弹，随时可能停止。考虑到近几个交易日在放量，后期即使下跌的话也会选择阴阳交错的抵抗式下跌，所 以短线上，当出现首个缩量阴线，或盘中出现急跌，买入做隔日是不错的选择。中线建议继续观察,30.67737404,短线 看盘 雄安 受美股 A股 ,出现 可能 选择 反弹 影响 
2018/1/9 22:37,https://weibo.com/1961718870/FDC1u1twN,22,146,15,微博 weibo.com,A股,【徐小平内部讲话泄密：呼吁创业者拥抱区块链！下一个投资风口来了？】 从去年底到今年初，区块链风靡投资领域。今天A股市场区块链概念股一片红火，易见股份，新晨科技涨停，御银股份、高伟达、四方精创等多只股票均大涨。什么是区块链？相关投资真的这么乐观吗？ 徐小平内部讲话泄密：呼吁创业者拥抱区块链！下一个投资风口来了？,48.09640837,区块 徐小平 泄密 风口 创业者 ,区块 投资 呼吁 创业者 股份 
2018/1/8 22:35,https://weibo.com/1708922835/FDsA7FmuC,29,97,27,微博 weibo.com,A股,【惠正投资江作良罕见发声！不要在白酒、家电的欢呼中太过沉迷；2018，风向会变】江作良：最近两年多，A股市场价值型的大型企业持续涨幅领先，而成长型的企业基本上一直处于比较痛苦的回归状态。所以在目前这个时间点，我也在思考这个问题，接下来有没有可能出现风格转换的可能性。在这里就一些想法和大家分享一下：http://t.cn/RHsc0Q2[组图共2张],-12.69475814,江作良 惠正 中太过 2018 会变 ,企业 有没有 可能 成长型 沉迷 
2018/1/8 10:00,https://weibo.com/2258727970/FDnDRETcn,155,25,28,微博网页版,A股,【直播：专家解密2018年A股市场的投资机会在哪里】第十八届瑞银大中华研讨会将于2018年1月8日至12日在上海举行，探讨宏观经济、地缘政治，传统行业，以及2018年A股市场的投资机会。央视财经邀请医药、新能源汽车、家电、光伏行业的研究员，解密2018年行业投资机会。 央视财经的微博直播 .,39.69775699,2018 A股 解密 直播 央视 ,机会 投资 财经 行业 A股 
2018/1/5 9:24,https://weibo.com/2204753141/FCV7BBzYq,157,79,103,微博 weibo.com,A股,【周鸿祎回A股赚大发了！20个涨停，"脚踩"京东"追平"交行：创4100亿借壳神话！】红衣主教周鸿祎赚大了，这都得益于A股市场中，互联网巨头稀缺。奇虎360借壳后已经超过20个涨停，市值达到4139亿元，在互联网界超越京东，在A股市场已比肩交通银行，成为第13大市值公司。作为奇虎360的实控人，周鸿祎身价也暴增至969亿元。via 中国基金报[组图共4张],40.48036808,A股 奇虎 20 周鸿祎 360 ,市值 京东 市场 A股 作为 
2018/1/5 12:35,https://weibo.com/1708922835/FCWn635mB,122,22,74,微博 weibo.com,A股,【贾乃亮家有上市公司？他名下5家企业 马苏是合伙人】经过查询发现，在贾乃亮故乡所在的东北三省A股上市公司中，都并没有姓“贾”的实际控制人，贾乃亮本人也没有出现在上述任何一家上市公司的大股东名单中。在工商资料中检索网络热传的“贾乃亮父母”姓名，未能找到名下企业信息。且不论贾乃亮是否为富二代，工商资料显示，其本人名下确实颇有资产，除担任2家公司的法人外，贾乃亮还入股3家企业。工商资料显示，本次风波中，出面替李小璐澄清绯闻的闺蜜马苏、开车送李小璐回家的秦岚，均与贾乃亮是合伙人关系。http://t.cn/RHmJYmq,42.91368964,贾乃亮 名下 李小璐 马苏 工商 ,企业 资料 工商 名下 马苏 
2018/1/5 12:52,https://weibo.com/2144596567/FCWu6nRZ5,253,30,68,HUAWEI Mate 9,A股,我国资本市场（A股）几乎丢掉了一个互联网时代（代表公司基本都在海外上市），这无疑是中国投资者以及管理层最大的心结，不得不说要解决这个问题很难，因为真正的好公司已经错过了解决的时间，能解决的一定还存在不确定性，360的回归是个尝试，但这个尝试与其冒的风险比其实意义已不大。 建议投资者和监管层尽早放下这个心结，多用发展的眼光去解决这个问题，努力去让A股市场投资者可以分享到科技新时代的新的独角兽成长。 至于现在在海外的好的中概股就当是圆明园丢失的十二生肖，让投资者通过港股通、沪伦通如市场化选择就好了。（哈，照片儿童不宜）,45.15426985,A股 心结 解决 投资者 尝试 ,投资者 解决 时代 尝试 公司 
2018/1/12 7:50,https://weibo.com/1896820725/FDYvgg3RY,955,98,160,360安全浏览器,A股,早间看盘：新年伊始，股市行情运行了将近2周，不经意间，10连阳呈现在投资者眼前，追溯A股历史，7000来个交易日组合成的A股，这样的10连阳，算上这次也仅仅有3次（其中还有一次串阳中有一根是假阳），这种10阳后的十全十美波段组合堪称是牛市的发动机！大数据显示A股历史上，可供参考的10阳走势，有两段，一段是2015年3月9日到3月24日，10连阳！其后走出了轰轰烈烈的15年杠杆牛市直到5178见顶！，第二段是2006年6月15日到6月29日也是10阳（但里面有一根假阳），这个更厉害，其后开始了至今最大的那轮07年牛市终结在历史高点6124点！至于这次十全十美后，A股能否走出一波波澜壮阔的大牛市，目前说这话还为时尚早，但不排除这种可能，太远的话说早了没意思，心里有个数就可以了！ 说说眼下当前的，10阳后今天怎么走？大概率还是收阳，直接挑战前高3450点的面大。侠哥你疯了吗？没有疯，11连阳这种创A股历史的走势预判，不疯狂点是难以想象的。疯就疯了吧，这把继续开大！热点看，本周火的一塌糊涂的三大热点，第一、区块链，说真，侠哥至今都没搞明白区块链为何物，理工男或玩互联网的可能更明白点吧，但大概知道是一种互联网新技术的，以前只知道是跟比特币挂钩，应用区块链技术开矿挖币，这轮全球炒作区块链后，好似这个技术是重大革命性技术，将来会超越互联网，带来万物互联的底层协议（抱歉，这个词也是刚知道的，啥叫底层协议还在蒙圈），不管了，反正这玩意就是新技术，新科技，沾边就暴涨这是事实！第二是房地产，这个A股房地产行情应该是港股带动的，加之房地产股大多低价绩优，业绩不错，被资金炒作有其价值回归的一面。另一块是次新股，有其叠加了刺心+医药，刺心+科技，刺心+一切，最活跃的资金进进出出，在IPO大幅增加前，这块总是赌徒的乐园之一。总体看，这轮创历史记录的串阳，很可能是一种信号，目前看走一步看一步，最小是突破3450点，冲击3600点了，再往后以后再说。大盘没毛病，继续看多做多，积极寻找下一个区块链题材的机会。以上观点，仅供交流，据此操作，后果自负！,95.19274157,10 A股 区块 连阳 刺心 ,A股 区块 技术 历史 牛市 
2018/1/12 21:23,https://weibo.com/1896820725/FE3OXx94l,648,40,92,iPhone 7 Plus,A股,要怪也就怪A股的好股票太少了，垃圾股发行上市太多了！再不让炒题材，炒重组，炒送转，这些股走成这样子也不足为奇！[doge],5.909664366,A股 股走成 doge 垃圾股 不足为奇 ,A股 题材 重组 垃圾股 走成 
